---------------------------
|         n |  n log_2(n) |
---------------------------
|         1 |       0.0 |
|         2 |       2.0 |
|         3 |       4.8 |
|         4 |       8.0 |
|         5 |      11.6 |
|         6 |      15.5 |
|         7 |      19.7 |
|         8 |      24.0 |
|         9 |      28.5 |
|        10 |      33.2 |
|        11 |      38.1 |
|        12 |      43.0 |
|        13 |      48.1 |
|        14 |      53.3 |
|        15 |      58.6 |
|        16 |      64.0 |
|        17 |      69.5 |
|        18 |      75.1 |
|        19 |      80.7 |
|        20 |      86.4 |
|        21 |      92.2 |
|        22 |      98.1 |
|        23 |     104.0 |
|        24 |     110.0 |
|        25 |     116.1 |
|        26 |     122.2 |
|        27 |     128.4 |
|        28 |     134.6 |
|        29 |     140.9 |
|        30 |     147.2 |
|        31 |     153.6 |
|        32 |     160.0 |
|        33 |     166.5 |
|        34 |     173.0 |
|        35 |     179.5 |
|        36 |     186.1 |
|        37 |     192.7 |
|        38 |     199.4 |
|        39 |     206.1 |
|        40 |     212.9 |
|        41 |     219.7 |
|        42 |     226.5 |
|        43 |     233.3 |
|        44 |     240.2 |
|        45 |     247.1 |
|        46 |     254.1 |
|        47 |     261.1 |
|        48 |     268.1 |
|        49 |     275.1 |
|        50 |     282.2 |
|        51 |     289.3 |
|        52 |     296.4 |
|        53 |     303.6 |
|        54 |     310.8 |
|        55 |     318.0 |
|        56 |     325.2 |
|        57 |     332.5 |
|        58 |     339.8 |
|        59 |     347.1 |
|        60 |     354.4 |
|        61 |     361.8 |
|        62 |     369.2 |
|        63 |     376.6 |
|        64 |     384.0 |
|        65 |     391.5 |
|        66 |     398.9 |
|        67 |     406.4 |
|        68 |     413.9 |
|        69 |     421.5 |
|        70 |     429.0 |
|        71 |     436.6 |
|        72 |     444.2 |
|        73 |     451.9 |
|        74 |     459.5 |
|        75 |     467.2 |
|        76 |     474.8 |
|        77 |     482.5 |
|        78 |     490.3 |
|        79 |     498.0 |
|        80 |     505.8 |
|        81 |     513.5 |
|        82 |     521.3 |
|        83 |     529.1 |
|        84 |     537.0 |
|        85 |     544.8 |
|        86 |     552.7 |
|        87 |     560.5 |
|        88 |     568.4 |
|        89 |     576.3 |
|        90 |     584.3 |
|        91 |     592.2 |
|        92 |     600.2 |
|        93 |     608.1 |
|        94 |     616.1 |
|        95 |     624.1 |
|        96 |     632.2 |
|        97 |     640.2 |
|        98 |     648.2 |
|        99 |     656.3 |
|       100 |     664.4 |
|       101 |     672.5 |
|       102 |     680.6 |
|       103 |     688.7 |
|       104 |     696.8 |
|       105 |     705.0 |
|       106 |     713.2 |
|       107 |     721.3 |
|       108 |     729.5 |
|       109 |     737.7 |
|       110 |     745.9 |
|       111 |     754.2 |
|       112 |     762.4 |
|       113 |     770.7 |
|       114 |     778.9 |
|       115 |     787.2 |
|       116 |     795.5 |
|       117 |     803.8 |
|       118 |     812.2 |
|       119 |     820.5 |
|       120 |     828.8 |
|       121 |     837.2 |
|       122 |     845.5 |
|       123 |     853.9 |
|       124 |     862.3 |
|       125 |     870.7 |
|       126 |     879.1 |
|       127 |     887.6 |
|       128 |     896.0 |
|       129 |     904.4 |
|       130 |     912.9 |
|       131 |     921.4 |
|       132 |     929.9 |
|       133 |     938.4 |
|       134 |     946.9 |
|       135 |     955.4 |
|       136 |     963.9 |
|       137 |     972.4 |
|       138 |     981.0 |
|       139 |     989.5 |
|       140 |     998.1 |
|       141 |    1006.7 |
|       142 |    1015.3 |
|       143 |    1023.9 |
|       144 |    1032.5 |
|       145 |    1041.1 |
|       146 |    1049.7 |
|       147 |    1058.4 |
|       148 |    1067.0 |
|       149 |    1075.7 |
|       150 |    1084.3 |
|       151 |    1093.0 |
|       152 |    1101.7 |
|       153 |    1110.4 |
|       154 |    1119.1 |
|       155 |    1127.8 |
|       156 |    1136.5 |
|       157 |    1145.3 |
|       158 |    1154.0 |
|       159 |    1162.7 |
|       160 |    1171.5 |
|       161 |    1180.3 |
|       162 |    1189.1 |
|       163 |    1197.8 |
|       164 |    1206.6 |
|       165 |    1215.4 |
|       166 |    1224.3 |
|       167 |    1233.1 |
|       168 |    1241.9 |
|       169 |    1250.7 |
|       170 |    1259.6 |
|       171 |    1268.5 |
|       172 |    1277.3 |
|       173 |    1286.2 |
|       174 |    1295.1 |
|       175 |    1304.0 |
|       176 |    1312.9 |
|       177 |    1321.8 |
|       178 |    1330.7 |
|       179 |    1339.6 |
|       180 |    1348.5 |
|       181 |    1357.5 |
|       182 |    1366.4 |
|       183 |    1375.4 |
|       184 |    1384.3 |
|       185 |    1393.3 |
|       186 |    1402.3 |
|       187 |    1411.3 |
|       188 |    1420.3 |
|       189 |    1429.3 |
